===============================================================================
EXTENSION NAME : linecounter
EXTENSION VERSION : 0.2.2
-------------------------------------------------------------------------------
count time : 2019-11-12 18:39:54
count workspace : d:\phpStudy\PHPTutorial\WWW\teahouse
total files : 7217
total code lines : 5824314
total comment lines : 190929
total blank lines : 248607

    statistics
   |      extension|     total code|  total comment|    total blank|percent|
   -------------------------------------------------------------------------
application\admin\view\analyse\analyse_optimize_index.html, code is 77, comment is 3, blank is 15.
application\admin\view\analyse\analyse_order.html, code is 1118, comment is 4, blank is 163.
application\admin\view\bankroll\bankroll_index.html, code is 264, comment is 16, blank is 32.
application\admin\view\bankroll\rewards_index.html, code is 212, comment is 3, blank is 31.
application\admin\view\bankroll\rewards_index_add.html, code is 72, comment is 3, blank is 13.
application\admin\view\bankroll\rewards_index_edit.html, code is 67, comment is 14, blank is 14.
application\admin\view\bonus\bonus_add.html, code is 237, comment is 12, blank is 34.
application\admin\view\bonus\bonus_edit.html, code is 306, comment is 12, blank is 36.
application\admin\view\bonus\bonus_index.html, code is 208, comment is 3, blank is 28.
application\admin\view\bonus\coupon_add.html, code is 349, comment is 17, blank is 52.
application\admin\view\bonus\coupon_edit.html, code is 407, comment is 28, blank is 57.
application\admin\view\bonus\coupon_index.html, code is 198, comment is 3, blank is 28.
application\admin\view\capital\add.html, code is 83, comment is 10, blank is 26.
application\admin\view\capital\edit.html, code is 114, comment is 17, blank is 29.
application\admin\view\capital\index.html, code is 110, comment is 14, blank is 26.
application\admin\view\category\category_add.html, code is 110, comment is 3, blank is 13.
application\admin\view\category\category_edit.html, code is 238, comment is 3, blank is 22.
application\admin\view\category\category_index.html, code is 223, comment is 3, blank is 27.
application\admin\view\city\agent_index.html, code is 113, comment is 3, blank is 15.
application\admin\view\city\city_datum_verify.html, code is 289, comment is 11, blank is 31.
application\admin\view\city\city_datum_verify_edit.html, code is 121, comment is 5, blank is 12.
application\admin\view\city\city_market.html, code is 141, comment is 3, blank is 30.
application\admin\view\city\city_market_feedback.html, code is 87, comment is 3, blank is 12.
application\admin\view\city\city_price_examine.html, code is 629, comment is 18, blank is 96.
application\admin\view\city\city_price_examine_update.html, code is 98, comment is 3, blank is 12.
application\admin\view\city\city_rank_meal.html, code is 95, comment is 4, blank is 15.
application\admin\view\city\city_rank_meal_add.html, code is 67, comment is 3, blank is 13.
application\admin\view\city\city_rank_meal_edit.html, code is 70, comment is 3, blank is 15.
application\admin\view\city\city_rank_setting.html, code is 496, comment is 16, blank is 33.
application\admin\view\city\city_rank_setting_edit.html, code is 1, comment is 0, blank is 0.
application\admin\view\city\city_setting.html, code is 506, comment is 3, blank is 27.
application\admin\view\city\detail_index.html, code is 111, comment is 3, blank is 15.
application\admin\view\comments\comments_add.html, code is 87, comment is 3, blank is 16.
application\admin\view\comments\comments_edit.html, code is 68, comment is 3, blank is 20.
application\admin\view\comments\comments_index.html, code is 232, comment is 3, blank is 54.
application\admin\view\control\control_charging_edit.html, code is 177, comment is 2, blank is 17.
application\admin\view\control\control_index.html, code is 113, comment is 13, blank is 25.
application\admin\view\control\control_meal_add.html, code is 111, comment is 3, blank is 14.
application\admin\view\control\control_meal_edit.html, code is 92, comment is 3, blank is 14.
application\admin\view\control\control_meal_index.html, code is 113, comment is 13, blank is 24.
application\admin\view\control\control_notice_add.html, code is 135, comment is 6, blank is 26.
application\admin\view\control\control_notice_edit.html, code is 139, comment is 6, blank is 28.
application\admin\view\control\control_notice_index.html, code is 171, comment is 16, blank is 19.
application\admin\view\control\control_online_charging.html, code is 281, comment is 3, blank is 32.
application\admin\view\control\control_order_add.html, code is 366, comment is 15, blank is 50.
application\admin\view\control\control_order_index.html, code is 267, comment is 45, blank is 21.
application\admin\view\control\control_order_status.html, code is 446, comment is 15, blank is 42.
application\admin\view\control\control_store_edit.html, code is 128, comment is 3, blank is 17.
application\admin\view\control\control_store_index.html, code is 417, comment is 16, blank is 70.
application\admin\view\control\control_store_list.html, code is 140, comment is 3, blank is 24.
application\admin\view\control\control_store_return.html, code is 149, comment is 3, blank is 25.
application\admin\view\control\control_store_templet.html, code is 223, comment is 3, blank is 32.
application\admin\view\control\control_store_user.html, code is 73, comment is 3, blank is 15.
application\admin\view\control\control_templet_add.html, code is 1, comment is 0, blank is 0.
application\admin\view\control\control_templet_edit.html, code is 1, comment is 0, blank is 0.
application\admin\view\control\control_withdraw_deposit.html, code is 233, comment is 3, blank is 33.
application\admin\view\control\control_withdraw_edit.html, code is 180, comment is 2, blank is 28.
application\admin\view\control\version_control.html, code is 94, comment is 6, blank is 23.
application\admin\view\crowd_oder\crowd_order_index.html, code is 1043, comment is 59, blank is 119.
application\admin\view\delivery\delivery_add.html, code is 84, comment is 3, blank is 15.
application\admin\view\delivery\delivery_edit.html, code is 90, comment is 3, blank is 12.
application\admin\view\delivery\delivery_goods.html, code is 210, comment is 18, blank is 31.
application\admin\view\delivery\delivery_goods_add.html, code is 166, comment is 3, blank is 21.
application\admin\view\delivery\delivery_goods_edit.html, code is 209, comment is 3, blank is 19.
application\admin\view\delivery\delivery_index.html, code is 223, comment is 14, blank is 34.
application\admin\view\distribution\goods_add.html, code is 280, comment is 26, blank is 40.
application\admin\view\distribution\goods_addtwo.html, code is 247, comment is 12, blank is 31.
application\admin\view\distribution\goods_edit.html, code is 144, comment is 3, blank is 21.
application\admin\view\distribution\goods_index.html, code is 226, comment is 19, blank is 32.
application\admin\view\distribution\record_index.html, code is 133, comment is 11, blank is 26.
application\admin\view\distribution\setting_edit.html, code is 84, comment is 3, blank is 11.
application\admin\view\distribution\setting_index.html, code is 125, comment is 11, blank is 25.
application\admin\view\evaluate\evaluate_edit.html, code is 66, comment is 3, blank is 15.
application\admin\view\evaluate\evaluate_index.html, code is 229, comment is 13, blank is 41.
application\admin\view\evaluate\evaluate_setting.html, code is 64, comment is 3, blank is 13.
application\admin\view\general\added_service_index.html, code is 172, comment is 0, blank is 6.
application\admin\view\general\added_service_show.html, code is 687, comment is 31, blank is 82.
application\admin\view\general\adder_after_sale.html, code is 159, comment is 0, blank is 2.
application\admin\view\general\additional_comments.html, code is 107, comment is 0, blank is 0.
application\admin\view\general\additional_comments_add.html, code is 85, comment is 0, blank is 1.
application\admin\view\general\agency_invitation.html, code is 174, comment is 2, blank is 5.
application\admin\view\general\capital_management.html, code is 164, comment is 21, blank is 6.
application\admin\view\general\capital_management_details.html, code is 233, comment is 6, blank is 7.
application\admin\view\general\decoration_routine_index.html, code is 574, comment is 4, blank is 70.
application\admin\view\general\general_address.html, code is 308, comment is 4, blank is 17.
application\admin\view\general\general_index.html, code is 271, comment is 15, blank is 12.
application\admin\view\general\go_to_pay.html, code is 10, comment is 0, blank is 0.
application\admin\view\general\now_agency_invitation.html, code is 100, comment is 1, blank is 8.
application\admin\view\general\order_package_buy.html, code is 1076, comment is 11, blank is 10.
application\admin\view\general\order_package_index.html, code is 263, comment is 1, blank is 2.
application\admin\view\general\order_package_purchase.html, code is 1, comment is 0, blank is 0.
application\admin\view\general\security_setting.html, code is 164, comment is 2, blank is 7.
application\admin\view\general\small_routine_index.html, code is 143, comment is 14, blank is 3.
application\admin\view\general\store_order.html, code is 655, comment is 1, blank is 106.
application\admin\view\general\store_order_after.html, code is 960, comment is 1, blank is 50.
application\admin\view\general\store_order_after_close.html, code is 10, comment is 0, blank is 0.
application\admin\view\general\store_order_after_complete.html, code is 9, comment is 0, blank is 1.
application\admin\view\general\store_order_after_edit.html, code is 134, comment is 0, blank is 2.
application\admin\view\general\store_order_after_handle.html, code is 9, comment is 0, blank is 1.
application\admin\view\general\store_order_after_ing.html, code is 209, comment is 20, blank is 3.
application\admin\view\general\store_order_after_refuse.html, code is 9, comment is 0, blank is 1.
application\admin\view\general\store_order_after_replace.html, code is 9, comment is 0, blank is 1.
application\admin\view\general\store_set_meal_order.html, code is 342, comment is 2, blank is 8.
application\admin\view\general\unline_recharge_record.html, code is 196, comment is 2, blank is 9.
application\admin\view\general\unline_withdrawal_record.html, code is 201, comment is 2, blank is 8.
application\admin\view\general\wx_index.html, code is 124, comment is 3, blank is 13.
application\admin\view\general\wxxcxinfo.html, code is 153, comment is 17, blank is 11.
application\admin\view\general\xiaochengxu_edit.html, code is 10008, comment is 1808, blank is 7928.
application\admin\view\goods\crowd_add.html, code is 1258, comment is 4, blank is 171.
application\admin\view\goods\crowd_edit.html, code is 1515, comment is 12, blank is 199.
application\admin\view\goods\crowd_index.html, code is 244, comment is 3, blank is 28.
application\admin\view\goods\exclusive_add.html, code is 1, comment is 0, blank is 0.
application\admin\view\goods\exclusive_edit.html, code is 1, comment is 0, blank is 0.
application\admin\view\goods\exclusive_index.html, code is 3, comment is 0, blank is 0.
application\admin\view\goods\goods_add.html, code is 1667, comment is 15, blank is 189.
application\admin\view\goods\goods_edit.html, code is 1795, comment is 10, blank is 202.
application\admin\view\goods\goods_index.html, code is 328, comment is 3, blank is 27.
application\admin\view\goods_type\goods_type_add.html, code is 100, comment is 9, blank is 14.
application\admin\view\goods_type\goods_type_edit.html, code is 155, comment is 45, blank is 18.
application\admin\view\goods_type\goods_type_index.html, code is 274, comment is 3, blank is 27.
application\admin\view\home\index.html, code is 357, comment is 4, blank is 54.
application\admin\view\index\index.html, code is 133, comment is 6, blank is 11.
application\admin\view\information\analytical_index.html, code is 369, comment is 5, blank is 33.
application\admin\view\information\data_index.html, code is 690, comment is 4, blank is 95.
application\admin\view\intercalate\business_index.html, code is 0, comment is 0, blank is 0.
application\admin\view\intercalate\dispatching_index.html, code is 0, comment is 0, blank is 0.
application\admin\view\intercalate\module_index.html, code is 0, comment is 0, blank is 0.
application\admin\view\layout.html, code is 13, comment is 6, blank is 12.
application\admin\view\limitations\limitations_add.html, code is 360, comment is 27, blank is 48.
application\admin\view\limitations\limitations_edit.html, code is 371, comment is 54, blank is 46.
application\admin\view\limitations\limitations_index.html, code is 228, comment is 3, blank is 27.
application\admin\view\login\login.html, code is 47, comment is 1, blank is 7.
application\admin\view\made\custom_made_index.html, code is 1, comment is 0, blank is 0.
application\admin\view\material\anti_fake.html, code is 220, comment is 10, blank is 6.
application\admin\view\material\chip_details.html, code is 128, comment is 4, blank is 6.
application\admin\view\material\direct_seeding.html, code is 358, comment is 9, blank is 16.
application\admin\view\material\direct_seeding_add.html, code is 174, comment is 3, blank is 7.
application\admin\view\material\direct_seeding_classification.html, code is 218, comment is 14, blank is 10.
application\admin\view\material\direct_seeding_classification_add.html, code is 123, comment is 3, blank is 7.
application\admin\view\material\direct_seeding_classification_edit.html, code is 122, comment is 3, blank is 8.
application\admin\view\material\direct_seeding_edit.html, code is 251, comment is 3, blank is 8.
application\admin\view\material\fake_chip.html, code is 117, comment is 8, blank is 6.
application\admin\view\material\interaction_add.html, code is 60, comment is 14, blank is 5.
application\admin\view\material\interaction_index.html, code is 267, comment is 1, blank is 25.
application\admin\view\material\video_comment.html, code is 1, comment is 0, blank is 0.
application\admin\view\member\member_add.html, code is 112, comment is 13, blank is 21.
application\admin\view\member\member_edit.html, code is 119, comment is 4, blank is 21.
application\admin\view\member\member_index.html, code is 139, comment is 11, blank is 24.
application\admin\view\menu\edit.html, code is 138, comment is 32, blank is 25.
application\admin\view\menu\index.html, code is 109, comment is 19, blank is 18.
application\admin\view\menu\save.html, code is 95, comment is 24, blank is 18.
application\admin\view\operate\operate_about.html, code is 96, comment is 25, blank is 26.
application\admin\view\operate\operate_broadcast.html, code is 204, comment is 25, blank is 29.
application\admin\view\operate\operate_broadcast_add.html, code is 43, comment is 3, blank is 14.
application\admin\view\operate\operate_broadcast_edit.html, code is 36, comment is 3, blank is 14.
application\admin\view\operate\operate_contract.html, code is 201, comment is 25, blank is 32.
application\admin\view\operate\operate_contract_add.html, code is 60, comment is 3, blank is 19.
application\admin\view\operate\operate_contract_edit.html, code is 64, comment is 3, blank is 18.
application\admin\view\operate\operate_index.html, code is 10, comment is 0, blank is 0.
